20522869: |Acc X:-0.37, Acc Y:0.59, Acc Z:9.40 |Gyr X:0.06, Gyr Y:-0.03, Gyr Z:-0.03 |Mag X:-0.04, Mag Y:0.46, Mag Z:-0.47 |q0:0.95, q1:0.00, q2:0.01, q3:-0.31 |Roll:0.32, Pitch:0.83, Yaw:-36.54
20522969: |Acc X:-0.57, Acc Y:0.63, Acc Z:9.06 |Gyr X:0.03, Gyr Y:0.01, Gyr Z:-0.03 |Mag X:-0.04, Mag Y:0.46, Mag Z:-0.47 |q0:0.95, q1:0.01, q2:0.01, q3:-0.31 |Roll:0.34, Pitch:0.83, Yaw:-36.55
20523069: |Acc X:-0.29, Acc Y:0.69, Acc Z:9.48 |Gyr X:0.01, Gyr Y:-0.02, Gyr Z:-0.01 |Mag X:-0.04, Mag Y:0.46, Mag Z:-0.47 |q0:0.95, q1:0.01, q2:0.01, q3:-0.31 |Roll:0.36, Pitch:0.83, Yaw:-36.57
20523169: |Acc X:-0.47, Acc Y:0.94, Acc Z:9.87 |Gyr X:-0.01, Gyr Y:-0.00, Gyr Z:-0.02 |Mag X:-0.04, Mag Y:0.46, Mag Z:-0.47 |q0:0.95, q1:0.01, q2:0.01, q3:-0.31 |Roll:0.36, Pitch:0.83, Yaw:-36.58
20523269: |Acc X:-0.70, Acc Y:1.11, Acc Z:9.67 |Gyr X:-0.01, Gyr Y:0.01, Gyr Z:0.01 |Mag X:-0.03, Mag Y:0.46, Mag Z:-0.47 |q0:0.95, q1:0.01, q2:0.01, q3:-0.31 |Roll:0.35, Pitch:0.83, Yaw:-36.58
20523369: |Acc X:-0.18, Acc Y:0.79, Acc Z:9.92 |Gyr X:-0.00, Gyr Y:-0.00, Gyr Z:0.01 |Mag X:-0.04, Mag Y:0.46, Mag Z:-0.47 |q0:0.95, q1:0.01, q2:0.01, q3:-0.31 |Roll:0.35, Pitch:0.82, Yaw:-36.58
20523469: |Acc X:-0.31, Acc Y:0.54, Acc Z:9.59 |Gyr X:-0.01, Gyr Y:-0.03, Gyr Z:0.01 |Mag X:-0.04, Mag Y:0.47, Mag Z:-0.47 |q0:0.95, q1:0.01, q2:0.01, q3:-0.31 |Roll:0.34, Pitch:0.81, Yaw:-36.58
20523569: |Acc X:-0.42, Acc Y:0.35, Acc Z:9.16 |Gyr X:-0.00, Gyr Y:-0.00, Gyr Z:0.02 |Mag X:-0.03, Mag Y:0.46, Mag Z:-0.48 |q0:0.95, q1:0.00, q2:0.01, q3:-0.31 |Roll:0.33, Pitch:0.81, Yaw:-36.57
20523669: |Acc X:-0.06, Acc Y:-0.05, Acc Z:9.42 |Gyr X:-0.02, Gyr Y:-0.01, Gyr Z:0.02 |Mag X:-0.03, Mag Y:0.46, Mag Z:-0.47 |q0:0.95, q1:0.00, q2:0.01, q3:-0.31 |Roll:0.31, Pitch:0.79, Yaw:-36.55
20523769: |Acc X:0.10, Acc Y:-0.38, Acc Z:9.85 |Gyr X:-0.04, Gyr Y:-0.00, Gyr Z:0.02 |Mag X:-0.03, Mag Y:0.45, Mag Z:-0.47 |q0:0.95, q1:0.00, q2:0.01, q3:-0.31 |Roll:0.29, Pitch:0.79, Yaw:-36.54
20523869: |Acc X:0.42, Acc Y:-0.52, Acc Z:10.10 |Gyr X:-0.03, Gyr Y:-0.00, Gyr Z:0.03 |Mag X:-0.03, Mag Y:0.46, Mag Z:-0.47 |q0:0.95, q1:0.00, q2:0.01, q3:-0.31 |Roll:0.26, Pitch:0.79, Yaw:-36.53
20523969: |Acc X:0.00, Acc Y:-0.70, Acc Z:10.49 |Gyr X:-0.01, Gyr Y:-0.00, Gyr Z:-0.02 |Mag X:-0.03, Mag Y:0.47, Mag Z:-0.47 |q0:0.95, q1:0.00, q2:0.01, q3:-0.31 |Roll:0.25, Pitch:0.78, Yaw:-36.53
20524069: |Acc X:-0.49, Acc Y:-0.74, Acc Z:10.03 |Gyr X:-0.01, Gyr Y:-0.01, Gyr Z:0.00 |Mag X:-0.03, Mag Y:0.46, Mag Z:-0.47 |q0:0.95, q1:0.00, q2:0.01, q3:-0.31 |Roll:0.24, Pitch:0.78, Yaw:-36.53
20524169: |Acc X:0.30, Acc Y:-0.98, Acc Z:9.79 |Gyr X:0.02, Gyr Y:0.01, Gyr Z:-0.01 |Mag X:-0.03, Mag Y:0.47, Mag Z:-0.47 |q0:0.95, q1:0.00, q2:0.01, q3:-0.31 |Roll:0.24, Pitch:0.78, Yaw:-36.53
20524269: |Acc X:-0.06, Acc Y:-0.58, Acc Z:9.61 |Gyr X:0.04, Gyr Y:0.01, Gyr Z:-0.03 |Mag X:-0.04, Mag Y:0.47, Mag Z:-0.47 |q0:0.95, q1:0.00, q2:0.01, q3:-0.31 |Roll:0.26, Pitch:0.78, Yaw:-36.55
20524369: |Acc X:-0.20, Acc Y:-0.20, Acc Z:9.57 |Gyr X:0.03, Gyr Y:0.01, Gyr Z:-0.02 |Mag X:-0.03, Mag Y:0.47, Mag Z:-0.47 |q0:0.95, q1:0.00, q2:0.01, q3:-0.31 |Roll:0.27, Pitch:0.79, Yaw:-36.56
